epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.846,0.8185,10.082,0.59864,1.0151,1.4391,0.13505,0.09677,0.04412,0.00655,0,0,0,0,3.88751,11.3384,0.68233,6.29142,3.9389,0.000658009,0.000658009,0.000658009
2,153.224,0.72991,9.4365,0.46998,0.61339,1.31049,0.09861,0.6129,0.09079,0.02511,0.00134,0.00806,0.00015,4e-05,2.47349,9.96519,0.72965,12.0455,3.36555,0.00127222,0.00127222,0.00127222
3,222.378,0.65862,8.09913,0.4187,0.56074,1.26027,0.28933,0.3871,0.2229,0.05999,0.0879,0.1129,0.01838,0.00333,2.65206,9.65523,0.75005,7.88203,3.26143,0.00183363,0.00183363,0.00183363
4,289.533,0.626,6.99103,0.3946,0.51725,1.23493,0.77895,0.91935,0.90296,0.60229,0.31026,0.37097,0.15017,0.0377,0.97219,5.01614,0.67419,1.37248,1.40496,0.0017624,0.0017624,0.0017624
5,357.709,0.58033,6.22101,0.38543,0.4736,1.20525,0.99198,0.99736,0.99492,0.82829,0.73078,0.73387,0.59703,0.20942,0.61448,3.72402,0.70203,0.50454,0.91263,0.0016832,0.0016832,0.0016832
6,427.247,0.51049,5.89086,0.37446,0.43289,1.15611,0.99759,1,0.995,0.8833,0.68772,0.68548,0.55473,0.1807,0.61348,4.02186,0.67216,0.47339,0.955,0.001604,0.001604,0.001604
7,496.988,0.49128,5.34332,0.37548,0.40658,1.15346,0.98408,0.99714,0.99468,0.89427,0.88038,0.87097,0.84715,0.40175,0.54281,2.67378,0.66352,0.41102,0.88905,0.0015248,0.0015248,0.0015248
8,564.232,0.46744,4.95877,0.36978,0.38898,1.12887,0.99148,1,0.995,0.88354,0.83876,0.84677,0.77717,0.3225,0.51114,2.92665,0.66557,0.43515,0.83715,0.0014456,0.0014456,0.0014456
9,628.95,0.44979,4.8263,0.36257,0.36633,1.12083,0.94513,0.97238,0.97032,0.80422,0.94255,0.95161,0.94315,0.5793,0.59677,1.93612,0.65101,0.508,0.92055,0.0013664,0.0013664,0.0013664
10,696.431,0.42741,4.58742,0.36297,0.36627,1.10683,0.97607,0.98679,0.99476,0.90993,0.92747,0.9281,0.94745,0.53948,0.48962,2.00153,0.65408,0.33498,0.78377,0.0012872,0.0012872,0.0012872
11,765.457,0.40448,4.4728,0.36448,0.35053,1.0897,0.99951,1,0.995,0.91017,0.90321,0.90323,0.90336,0.4649,0.52897,2.48248,0.6829,0.34073,0.83473,0.001208,0.001208,0.001208
12,828.083,0.39176,4.22289,0.35693,0.33393,1.09113,0.99951,1,0.995,0.91926,0.93882,0.91935,0.91237,0.44941,0.47741,2.19333,0.69738,0.27017,0.79218,0.0011288,0.0011288,0.0011288
13,895.394,0.3929,4.07405,0.35513,0.33207,1.08928,0.99918,1,0.995,0.91167,0.92028,0.91935,0.90979,0.44489,0.48935,2.56398,0.6763,0.35249,0.79934,0.0010496,0.0010496,0.0010496
14,959.998,0.36547,4.19246,0.35476,0.32867,1.06753,0.99952,1,0.995,0.92937,0.91117,0.91129,0.93001,0.6151,0.47046,1.99961,0.6854,0.28507,0.76306,0.0009704,0.0009704,0.0009704
