epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.5866,1.47703,1.58861,1.22862,0.70726,0.71331,0.7667,0.43663,1.3806,0.9226,1.15217,0.000252773,0.000252773,0.000252773
2,134.654,1.29162,0.81522,1.13318,0.76891,0.77371,0.83346,0.52251,1.21107,0.86286,1.11933,0.000488946,0.000488946,0.000488946
3,194.255,1.24849,0.75872,1.12149,0.74166,0.76152,0.78811,0.49934,1.216,0.90339,1.13,0.000704817,0.000704817,0.000704817
4,249.216,1.22606,0.73742,1.12067,0.77772,0.67796,0.80029,0.48371,1.30798,0.95897,1.17816,0.000677643,0.000677643,0.000677643
5,303.797,1.20135,0.68762,1.09737,0.74921,0.87384,0.84337,0.51763,1.34694,0.79713,1.17962,0.00064719,0.00064719,0.00064719
6,358.166,1.1254,0.64335,1.07368,0.84353,0.80462,0.85575,0.55051,1.20096,0.75346,1.09225,0.000616738,0.000616738,0.000616738
7,416.307,1.07458,0.60118,1.04857,0.83079,0.82928,0.83993,0.54713,1.08579,0.7636,1.10054,0.000586286,0.000586286,0.000586286
8,470.559,1.08893,0.60041,1.04825,0.80426,0.83654,0.85306,0.55893,1.12561,0.74663,1.10529,0.000555833,0.000555833,0.000555833
9,530.322,1.01728,0.56483,1.03101,0.86649,0.79738,0.85605,0.57218,1.08085,0.68413,1.09096,0.000525381,0.000525381,0.000525381
10,590.75,1.0101,0.55043,1.0197,0.81303,0.83895,0.85715,0.58295,1.07109,0.71827,1.1064,0.000494928,0.000494928,0.000494928
11,652.269,0.96414,0.52331,0.99816,0.86863,0.84693,0.87148,0.59087,1.07479,0.69063,1.10106,0.000464476,0.000464476,0.000464476
12,716.125,0.93958,0.50653,0.98435,0.85549,0.88305,0.8836,0.5853,1.04626,0.65122,1.08021,0.000434024,0.000434024,0.000434024
13,776.147,0.94594,0.49424,0.98451,0.83996,0.86432,0.86874,0.59005,1.05847,0.65645,1.09407,0.000403571,0.000403571,0.000403571
14,835.269,0.88935,0.47067,0.96522,0.86947,0.86047,0.90152,0.60503,1.06187,0.64008,1.08291,0.000373119,0.000373119,0.000373119
15,900.05,0.85655,0.45189,0.95377,0.89074,0.86346,0.88961,0.62625,1.00959,0.63331,1.07483,0.000342666,0.000342666,0.000342666
16,966.613,0.83225,0.42876,0.94294,0.88493,0.84733,0.87274,0.60042,1.06678,0.67062,1.11124,0.000312214,0.000312214,0.000312214
17,1020.06,0.81502,0.41329,0.93011,0.88007,0.84131,0.87639,0.61547,1.03958,0.65634,1.10162,0.000281762,0.000281762,0.000281762
18,1079.27,0.79929,0.40789,0.92962,0.8556,0.84297,0.878,0.60967,1.03943,0.64066,1.11184,0.000251309,0.000251309,0.000251309
19,1138.15,0.75268,0.38796,0.9081,0.86505,0.86241,0.8741,0.60505,1.0945,0.67225,1.13553,0.000220857,0.000220857,0.000220857
20,1197.44,0.739,0.37341,0.90244,0.87255,0.86337,0.87994,0.62887,1.04503,0.62734,1.11293,0.000190404,0.000190404,0.000190404
21,1261.1,0.71109,0.36357,0.88987,0.87973,0.86929,0.87046,0.63405,1.02889,0.61093,1.11091,0.000159952,0.000159952,0.000159952
22,1321.27,0.67862,0.34945,0.87879,0.87856,0.88182,0.8825,0.62951,1.01111,0.58096,1.09261,0.0001295,0.0001295,0.0001295
23,1379.75,0.66401,0.33842,0.87162,0.86576,0.8675,0.88066,0.64129,0.99217,0.59371,1.08781,9.90472e-05,9.90472e-05,9.90472e-05
24,1442.07,0.63788,0.32669,0.86492,0.86848,0.86523,0.87487,0.62534,0.98182,0.57339,1.07908,6.85948e-05,6.85948e-05,6.85948e-05
25,1501.08,0.60949,0.31715,0.85628,0.87764,0.86347,0.87784,0.6339,0.99413,0.5766,1.08846,3.81424e-05,3.81424e-05,3.81424e-05
